"X","Y","malpi_aster_w4u3_rit"
583037.572896,4437494.108068,752.000000
583064.848849,4437494.108068,751.000000
583092.124802,4437494.108068,743.000000
583119.400755,4437494.108068,740.000000
583146.676708,4437494.108068,737.000000
583173.952661,4437494.108068,732.000000
583201.228614,4437494.108068,727.000000
583228.504567,4437494.108068,723.000000
583255.780520,4437494.108068,711.000000
583283.056473,4437494.108068,707.000000
583310.332426,4437494.108068,706.000000
583337.608379,4437494.108068,704.000000
583364.884332,4437494.108068,701.000000
583392.160285,4437494.108068,695.000000
583419.436238,4437494.108068,688.000000
583446.712191,4437494.108068,682.000000
583473.988144,4437494.108068,682.000000
583501.264097,4437494.108068,681.000000
583528.540050,4437494.108068,679.000000
583555.816003,4437494.108068,676.000000
583583.091956,4437494.108068,672.000000
583610.367909,4437494.108068,673.000000
583637.643862,4437494.108068,676.000000
583664.919815,4437494.108068,680.000000
583692.195768,4437494.108068,680.000000
583719.471721,4437494.108068,679.000000
583746.747674,4437494.108068,678.000000
583774.023627,4437494.108068,680.000000
583801.299580,4437494.108068,680.000000
583828.575533,4437494.108068,681.000000
583855.851486,4437494.108068,681.000000
583883.127439,4437494.108068,680.000000
583910.403392,4437494.108068,677.000000
583937.679345,4437494.108068,671.000000
583964.955298,4437494.108068,664.000000
583992.231251,4437494.108068,661.000000
584019.507204,4437494.108068,662.000000
584046.783157,4437494.108068,663.000000
584074.059110,4437494.108068,664.000000
584101.335063,4437494.108068,664.000000
584128.611016,4437494.108068,664.000000
584155.886969,4437494.108068,661.000000
584183.162922,4437494.108068,660.000000
584210.438875,4437494.108068,661.000000
584237.714828,4437494.108068,663.000000
584264.990781,4437494.108068,668.000000
584292.266734,4437494.108068,674.000000
584319.542687,4437494.108068,680.000000
584346.818640,4437494.108068,684.000000
584374.094593,4437494.108068,687.000000
584401.370546,4437494.108068,694.000000
584428.646499,4437494.108068,702.000000
584455.922452,4437494.108068,708.000000
584483.198405,4437494.108068,709.000000
584510.474358,4437494.108068,701.000000
584537.750311,4437494.108068,696.000000
584565.026264,4437494.108068,692.000000
584592.302217,4437494.108068,689.000000
584619.578170,4437494.108068,683.000000
584646.854123,4437494.108068,684.000000
584674.130076,4437494.108068,684.000000
584701.406029,4437494.108068,683.000000
584728.681982,4437494.108068,681.000000
584755.957935,4437494.108068,680.000000
584783.233888,4437494.108068,680.000000
584810.509841,4437494.108068,679.000000
584837.785794,4437494.108068,678.000000
584865.061747,4437494.108068,680.000000
584892.337700,4437494.108068,689.000000
584919.613653,4437494.108068,688.000000
584946.889606,4437494.108068,690.000000
584974.165559,4437494.108068,692.000000
585001.441512,4437494.108068,696.000000
585028.717465,4437494.108068,700.000000
585055.993418,4437494.108068,706.000000
585083.269371,4437494.108068,709.000000
585110.545324,4437494.108068,713.000000
585137.821277,4437494.108068,714.000000
585165.097230,4437494.108068,716.000000
585192.373183,4437494.108068,715.000000
585219.649136,4437494.108068,714.000000
585246.925089,4437494.108068,713.000000
585274.201042,4437494.108068,714.000000
585301.476995,4437494.108068,715.000000
585328.752948,4437494.108068,717.000000
585356.028901,4437494.108068,718.000000
585383.304854,4437494.108068,718.000000
585410.580807,4437494.108068,723.000000
585437.856760,4437494.108068,728.000000
