x,y,z,dipdir,dipang
584592,4.44157e+06,1522.8,135,35
584604,4.44157e+06,1518.11,135,35
584604,4.44157e+06,1518.11,135,35
584620,4.44157e+06,1510.24,135,35
584620,4.44157e+06,1510.24,135,35
584636,4.44157e+06,1504.61,135,35
584636,4.44157e+06,1504.61,135,35
584647,4.44158e+06,1500.03,135,35
584647,4.44158e+06,1500.03,135,35
584666,4.44158e+06,1491.1,135,35
584666,4.44158e+06,1491.1,135,35
584674,4.44158e+06,1486.66,135,35
584689,4.44159e+06,1483.85,135,35
584674,4.44158e+06,1486.66,135,35
584718,4.44157e+06,1464.09,135,35
584709,4.44159e+06,1473.99,135,35
584718,4.44157e+06,1464.09,135,35
584729,4.44157e+06,1458.74,135,35
584729,4.44157e+06,1458.74,135,35
584746,4.44158e+06,1450.59,135,35
584746,4.44158e+06,1450.59,135,35
584756,4.44158e+06,1445.9,135,35
584756,4.44158e+06,1445.9,135,35
584778,4.44158e+06,1437.08,135,35
584778,4.44158e+06,1437.08,135,35
584783,4.44158e+06,1434.76,135,35
584783,4.44158e+06,1434.76,135,35
584810,4.44158e+06,1423.58,135,35
584810,4.44158e+06,1423.58,135,35
584810,4.44158e+06,1423.33,135,35
584813,4.44159e+06,1422.54,135,35
584810,4.44158e+06,1423.33,135,35
584186,4.44153e+06,1705.91,135,35
584210,4.44155e+06,1705,135,35
584220,4.44156e+06,1702.65,135,35
584210,4.44155e+06,1705,135,35
584340,4.44156e+06,1643.06,135,35
584343,4.44155e+06,1639.66,135,35
584343,4.44155e+06,1639.66,135,35
584347,4.44156e+06,1638.18,135,35
584360,4.44156e+06,1633.08,135,35
584347,4.44156e+06,1638.18,135,35
584393,4.44156e+06,1616.69,135,35
584400,4.44156e+06,1612.65,135,35
584400,4.44156e+06,1612.65,135,35
584401,4.44156e+06,1611.94,135,35
584410,4.44156e+06,1608.61,135,35
584401,4.44156e+06,1611.94,135,35
584134,4.4415e+06,1717.79,135,35
584156,4.44152e+06,1717.79,135,35
584156,4.44152e+06,1717.79,135,35
584180,4.44153e+06,1707.18,135,35
584180,4.44153e+06,1707.18,135,35
584183,4.44153e+06,1706.27,135,35
584186,4.44153e+06,1705.91,135,35
584183,4.44153e+06,1706.27,135,35
584134,4.4415e+06,1717.79,135,35
584145,4.44149e+06,1707.18,135,35
584138,4.44148e+06,1702.33,135,35
584145,4.44149e+06,1707.18,135,35
584125,4.44145e+06,1695.47,135,35
584129,4.44145e+06,1695.58,135,35
584138,4.44148e+06,1702.33,135,35
584129,4.44145e+06,1695.58,135,35
584086,4.44142e+06,1701.21,135,35
584101,4.44143e+06,1699.14,135,35
584125,4.44145e+06,1695.47,135,35
584101,4.44143e+06,1699.14,135,35
584074,4.44139e+06,1693.94,135,35
584074,4.4414e+06,1694.19,135,35
584086,4.44142e+06,1701.21,135,35
584074,4.4414e+06,1694.19,135,35
584074,4.44139e+06,1693.94,135,35
584074,4.44139e+06,1693.68,135,35
584074,4.44139e+06,1693.68,135,35
584074,4.44139e+06,1693.33,135,35
584085,4.44138e+06,1680.17,135,35
584074,4.44139e+06,1693.33,135,35
584085,4.44138e+06,1680.17,135,35
584088,4.44137e+06,1673.46,135,35
584088,4.44137e+06,1673.46,135,35
584088,4.44135e+06,1666.67,135,35
584088,4.44135e+06,1666.67,135,35
584093,4.44134e+06,1657.42,135,35
584073,4.44131e+06,1653.85,135,35
584074,4.44131e+06,1654,135,35
584093,4.44134e+06,1657.42,135,35
584074,4.44131e+06,1654,135,35
584073,4.44131e+06,1653.85,135,35
584073,4.44131e+06,1653.16,135,35
584073,4.44131e+06,1653.16,135,35
584074,4.44131e+06,1652.58,135,35
584074,4.44131e+06,1652.58,135,35
584087,4.4413e+06,1639.66,135,35
584087,4.4413e+06,1639.66,135,35
584101,4.44129e+06,1629.41,135,35
584101,4.44129e+06,1629.41,135,35
584106,4.44129e+06,1626.15,135,35
584106,4.44129e+06,1626.15,135,35
584110,4.44129e+06,1621.66,135,35
584110,4.44129e+06,1621.66,135,35
584119,4.44128e+06,1612.65,135,35
584119,4.44128e+06,1612.65,135,35
584129,4.44126e+06,1601.88,135,35
584129,4.44126e+06,1601.88,135,35
584131,4.44126e+06,1599.14,135,35
584131,4.44126e+06,1599.14,135,35
584132,4.44126e+06,1597.48,135,35
584138,4.44124e+06,1585.64,135,35
584132,4.44126e+06,1597.48,135,35
584138,4.44124e+06,1585.64,135,35
584147,4.44123e+06,1576.66,135,35
584147,4.44123e+06,1576.66,135,35
584149,4.44122e+06,1572.13,135,35
584149,4.44122e+06,1572.13,135,35
584152,4.4412e+06,1560.75,135,35
584152,4.4412e+06,1560.75,135,35
584153,4.4412e+06,1558.63,135,35
584153,4.4412e+06,1558.63,135,35
584156,4.44119e+06,1553.27,135,35
584156,4.44119e+06,1553.27,135,35
584161,4.44118e+06,1545.12,135,35
584161,4.44118e+06,1545.12,135,35
584163,4.44118e+06,1541.58,135,35
584163,4.44118e+06,1541.58,135,35
584170,4.44116e+06,1531.62,135,35
584170,4.44116e+06,1531.62,135,35
584172,4.44115e+06,1523.56,135,35
584172,4.44115e+06,1523.56,135,35
584176,4.44114e+06,1518.11,135,35
584176,4.44114e+06,1518.11,135,35
584183,4.44114e+06,1511.26,135,35
584183,4.44114e+06,1511.26,135,35
584190,4.44113e+06,1504.61,135,35
584190,4.44113e+06,1504.61,135,35
584192,4.44112e+06,1500.21,135,35
584193,4.4411e+06,1491.1,135,35
584192,4.44112e+06,1500.21,135,35
584193,4.4411e+06,1491.1,135,35
584195,4.44109e+06,1485.16,135,35
584181,4.44107e+06,1478.57,135,35
584183,4.44107e+06,1479,135,35
584195,4.44109e+06,1485.16,135,35
584183,4.44107e+06,1479,135,35
584181,4.44107e+06,1478.57,135,35
584182,4.44107e+06,1477.6,135,35
584182,4.44107e+06,1477.6,135,35
584183,4.44106e+06,1475.37,135,35
584183,4.44106e+06,1475.37,135,35
584189,4.44105e+06,1464.09,135,35
584189,4.44105e+06,1464.09,135,35
584196,4.44104e+06,1457.91,135,35
584196,4.44104e+06,1457.91,135,35
584202,4.44103e+06,1450.59,135,35
584202,4.44103e+06,1450.59,135,35
584210,4.44102e+06,1439.76,135,35
584210,4.44102e+06,1439.76,135,35
584212,4.44101e+06,1437.08,135,35
584212,4.44101e+06,1437.08,135,35
584212,4.44101e+06,1436.24,135,35
584212,4.44101e+06,1436.24,135,35
584216,4.44099e+06,1423.58,135,35
584216,4.44099e+06,1423.58,135,35
584218,4.44099e+06,1419.78,135,35
584218,4.44099e+06,1419.78,135,35
584221,4.44097e+06,1410.07,135,35
584221,4.44097e+06,1410.07,135,35
584223,4.44096e+06,1403.65,135,35
584223,4.44096e+06,1403.65,135,35
584224,4.44094e+06,1396.57,135,35
584224,4.44094e+06,1396.57,135,35
584226,4.44093e+06,1389.09,135,35
584226,4.44093e+06,1389.09,135,35
584227,4.44092e+06,1383.06,135,35
584227,4.44092e+06,1383.06,135,35
584234,4.4409e+06,1371.34,135,35
584234,4.4409e+06,1371.34,135,35
584235,4.4409e+06,1369.56,135,35
584235,4.4409e+06,1369.56,135,35
584238,4.44088e+06,1356.34,135,35
584238,4.44088e+06,1356.34,135,35
584238,4.44088e+06,1356.05,135,35
584238,4.44088e+06,1356.05,135,35
584238,4.44088e+06,1356.01,135,35
584238,4.44088e+06,1356.01,135,35
584244,4.44086e+06,1342.55,135,35
584244,4.44086e+06,1342.55,135,35
584247,4.44085e+06,1338.01,135,35
584226,4.44082e+06,1334.85,135,35
584238,4.44084e+06,1337,135,35
584247,4.44085e+06,1338.01,135,35
584238,4.44084e+06,1337,135,35
584226,4.44082e+06,1334.85,135,35
584223,4.44081e+06,1329.04,135,35
584223,4.44079e+06,1322.91,135,35
584223,4.44081e+06,1329.04,135,35
584223,4.44079e+06,1322.91,135,35
584222,4.44078e+06,1315.54,135,35
584222,4.44078e+06,1315.54,135,35
584222,4.44077e+06,1309.84,135,35
584222,4.44077e+06,1309.84,135,35
584220,4.44075e+06,1302.03,135,35
584220,4.44075e+06,1302.03,135,35
584219,4.44074e+06,1297.65,135,35
584219,4.44074e+06,1297.65,135,35
584217,4.44072e+06,1288.53,135,35
584217,4.44072e+06,1288.53,135,35
584218,4.44071e+06,1284.72,135,35
584201,4.44069e+06,1279.75,135,35
584210,4.4407e+06,1281.2,135,35
584218,4.44071e+06,1284.72,135,35
584210,4.4407e+06,1281.2,135,35
584201,4.44069e+06,1279.75,135,35
584202,4.44068e+06,1275.02,135,35
584202,4.44068e+06,1275.02,135,35
584206,4.44066e+06,1263.87,135,35
583596,4.44063e+06,1552.18,135,35
583610,4.44064e+06,1548,135,35
583610,4.44064e+06,1548,135,35
583619,4.44064e+06,1545.12,135,35
583619,4.44064e+06,1545.12,135,35
583638,4.44065e+06,1539,135,35
583638,4.44065e+06,1539,135,35
583649,4.44064e+06,1531.62,135,35
